Age,Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Genre
21,21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Romantic Comedy
21,21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Crime/Mystery
19,11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Romantic Comedy
19,11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Horror
19,11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Action
19,11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Thriller
19,11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Anime
34,31-40,Male,Employed,more than 9 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
22,21-30,Male,Student,,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Romantic Comedy
22,21-30,Male,Student,,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Sci-Fi/Fantasy
21,21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Romantic Comedy
21,21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Sci-Fi/Fantasy
21,21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Crime/Mystery
21,21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Action
21,21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Thriller
20,11-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Sci-Fi/Fantasy
20,11-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Horror
20,11-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Crime/Mystery
22,21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Romantic Comedy
22,21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Crime/Mystery
22,21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Thriller
22,21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Comedy
22,21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Romantic Comedy
22,21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Horror
22,21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Crime/Mystery
22,21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Action
22,21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Thriller
27,21-30,Female,Student,,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Romantic Comedy
27,21-30,Female,Student,,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Sci-Fi/Fantasy
27,21-30,Female,Student,,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Thriller
21,21-30,Male,Student,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Romantic Comedy
21,21-30,Male,Student,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Student,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Crime/Mystery
19,11-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,Romantic Comedy
19,11-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,Sci-Fi/Fantasy
19,11-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,Thriller
21,21-30,Female,Student,,West Bengal ,Siliguri,26.72,88.42,Town/City,Crime/Mystery
21,21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Thriller
21,21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Romantic Comedy
21,21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Sci-Fi/Fantasy
21,21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Crime/Mystery
