Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
21,21-30,Female,Bihar,Patna,25.61,85.1414,Town/City,Student,Fault In Our Stars,Romance
21,21-30,Female,Bihar,Patna,25.61,85.1414,Town/City,Student,Pursuit Of Happiness,Drama
21,21-30,Female,Bihar,Patna,25.61,85.1414,Town/City,Student,Uri,Action
19,11-20,Male,Bihar,Patna,25.61,85.1414,Town/City,Student,Avengers Endgame,Sci-Fi
19,11-20,Male,Bihar,Patna,25.61,85.1414,Town/City,Student,Shutter Island,Mystery
19,11-20,Male,Bihar,Patna,25.61,85.1414,Town/City,Student,Interstellar,Sci-Fi
34,31-40,Male,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Employed,Mission Impossible,Action
34,31-40,Male,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Employed,The Princess Bride,Romance
34,31-40,Male,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Employed,Star Wars,Fantasy
22,21-30,Male,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Student,Ready,Romantic Comedy
22,21-30,Male,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Student,Wanted,Action
22,21-30,Male,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Student,Bodygaurd,Romance
20,11-20,Male,Kerala,Alapuzha,9.4981,76.3388,Town/City,Student,Bangalore days,Drama
20,11-20,Male,Kerala,Alapuzha,9.4981,76.3388,Town/City,Student,Rab Ne Bana Di Jodi,Romance
22,21-30,Female,Kerala,Tirur,10.9167,75.9245,Town/City,Student,Madhuram,Romantic Comedy
22,21-30,Female,Kerala,Tirur,10.9167,75.9245,Town/City,Student,Enola Holmes,Thriller
22,21-30,Female,Kerala,Tirur,10.9167,75.9245,Town/City,Student,The Terminal,Drama
22,21-30,Female,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Student,C U Soon,Thriller
22,21-30,Female,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Student,Chichhore,Romantic Comedy
22,21-30,Female,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Student,Five Feet Apart,Romance
27,21-30,Female,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Student,Jojo Rabbit,Drama
27,21-30,Female,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Student,Minari,Drama
27,21-30,Female,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Student,Joker,Crime
21,21-30,Male,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Student,The Perks Of Being A Wallflower,Romance
21,21-30,Male,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Student,10 Things I Hate About You,Romantic Comedy
21,21-30,Male,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Student,500 Days Of Summer,Romance
21,21-30,Female,West Bengal ,Siliguri,26.72,88.42,Town/City,Student,Parasite,Thriller
21,21-30,Female,West Bengal ,Siliguri,26.72,88.42,Town/City,Student,Cruella,Crime
21,21-30,Female,West Bengal ,Siliguri,26.72,88.42,Town/City,Student,Red Notice,Action
21,21-30,Male,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Employed,Spiderman: No Way Home,Sci-Fi
21,21-30,Male,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Employed,Pushpa,Action
21,21-30,Male,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Employed,Andhadhun,Crime
21,21-30,Female,Kerala,Ernakulam,9.9816,76.2999,Rural,Student,Jai Bhim,Mystery
21,21-30,Female,Kerala,Ernakulam,9.9816,76.2999,Rural,Student,Hridayam,Romance
21,21-30,Female,Kerala,Ernakulam,9.9816,76.2999,Rural,Student,Drishyam 2,Crime
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Student,Spiderman: No Way Home,Sci-Fi
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Student,Avengers Endgame,Sci-Fi
