Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,OTT_Platforms
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Netflix
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Amazon Prime
11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Netflix
11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Amazon Prime
11-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Disney+ Hotstar
31-40,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Disney+ Hotstar
21-30,Male,Student,,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Netflix
21-30,Male,Student,,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Amazon Prime
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Other
11-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Netflix
11-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Amazon Prime
21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Netflix
21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Amazon Prime
21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Disney+ Hotstar
21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Telegram
21-30,Female,Student,,Uttar Pradesh,Varanasi,25.3189,83.0128,Town/City,Netflix
21-30,Female,Student,,Uttar Pradesh,Varanasi,25.3189,83.0128,Town/City,Amazon Prime
21-30,Female,Student,,Uttar Pradesh,Varanasi,25.3189,83.0128,Town/City,Disney+ Hotstar
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
11-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,Amazon Prime
11-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,Disney+ Hotstar
21-30,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Netflix
21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Disney+ Hotstar
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Netflix
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Amazon Prime
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Disney+ Hotstar
21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Netflix
21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Amazon Prime
21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Disney+ Hotstar
31-40,Female,Employed,less than 1 lakh,Uttar Pradesh,Varanasi,25.3189,83.0128,Town/City,Amazon Prime
11-20,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Netflix
11-20,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Amazon Prime
21-30,Male,Student,,Kerala,Pala,9.7131,76.6833,Town/City,Netflix
21-30,Male,Student,,Kerala,Pala,9.7131,76.6833,Town/City,Amazon Prime
21-30,Male,Student,,Kerala,Pala,9.7131,76.6833,Town/City,Disney+ Hotstar
21-30,Male,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,Netflix
21-30,Male,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,Amazon Prime
21-30,Male,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,Disney+ Hotstar
21-30,Male,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,SonyLIV
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Amazon Prime
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Netflix
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Disney+ Hotstar
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,SonyLIV
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Amazon Prime
