Age,Age_Category,Gender,Occupational_Status,State,City,Latitude,Longitude,Residence,Favourite_Shows,Series_Genre
21,21-30,Female,Student,Bihar,Patna,25.61,85.1414,Town/City,Friends,Comedy
19,11-20,Male,Student,Bihar,Patna,25.61,85.1414,Town/City,Money Heist,Crime
19,11-20,Male,Student,Bihar,Patna,25.61,85.1414,Town/City,Friends,Comedy
19,11-20,Male,Student,Bihar,Patna,25.61,85.1414,Town/City,How I Met Your Mother,Romantic Comedy
34,31-40,Male,Employed,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Mandalorian,Adventure
34,31-40,Male,Employed,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Family Man,Action
34,31-40,Male,Employed,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Asur,Indian TV series
22,21-30,Male,Student,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,The Big Bang Theory,Comedy
22,21-30,Male,Student,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Flames,Indian TV series
22,21-30,Male,Student,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Yeh Hai Meri Family,Indian TV series
21,21-30,Female,Student,Karnataka,Bangalore,12.9699,77.598,Town/City,Reply 1988,K-drama
21,21-30,Female,Student,Karnataka,Bangalore,12.9699,77.598,Town/City,Hotel Del Luna,K-drama
21,21-30,Female,Student,Karnataka,Bangalore,12.9699,77.598,Town/City,Sweet Home,Horror
20,11-20,Male,Student,Kerala,Alapuzha,9.4981,76.3388,Town/City,Stranger Things,Horror
20,11-20,Male,Student,Kerala,Alapuzha,9.4981,76.3388,Town/City,Sex Education,Comedy
20,11-20,Male,Student,Kerala,Alapuzha,9.4981,76.3388,Town/City,The Vampire Diaries,Horror
22,21-30,Female,Student,Kerala,Tirur,10.9167,75.9245,Town/City,The Office,Comedy
22,21-30,Female,Student,Kerala,Tirur,10.9167,75.9245,Town/City,Squid Game,K-drama
22,21-30,Female,Student,Kerala,Tirur,10.9167,75.9245,Town/City,Only Murders in the Building,Mystery
22,21-30,Female,Student,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Money Heist,Crime
22,21-30,Female,Student,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Friends,Comedy
22,21-30,Female,Student,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Sherlock Holmes,Mystery
27,21-30,Female,Student,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Bridgerton,Drama
27,21-30,Female,Student,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Dark,Thriller
27,21-30,Female,Student,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,This is US,Comedy-drama
21,21-30,Male,Student,Kerala ,Ernakulam,9.9816,76.2999,Town/City,13 Reasons Why,Drama
21,21-30,Male,Student,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Looking For Alaska,Fiction
21,21-30,Male,Student,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Breaking Bad,Crime
21,21-30,Female,Student,West Bengal ,Siliguri,26.72,88.42,Town/City,The Vampire Diaries,Horror
21,21-30,Female,Student,West Bengal ,Siliguri,26.72,88.42,Town/City,Hotel Del Luna,K-drama
21,21-30,Female,Student,West Bengal ,Siliguri,26.72,88.42,Town/City,Vincenzo,K-drama
21,21-30,Male,Employed,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Mirzapur,Indian TV series
21,21-30,Male,Employed,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Family Man,Action
21,21-30,Male,Employed,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Money Heist,Crime
21,21-30,Female,Student,Kerala,Ernakulam,9.9816,76.2999,Rural,Friends,Comedy
21,21-30,Female,Student,Kerala,Ernakulam,9.9816,76.2999,Rural,Breaking Bad,Crime
21,21-30,Female,Student,Kerala,Ernakulam,9.9816,76.2999,Rural,Stranger Things,Horror
