Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Device_Used
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Laptop
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Smartphone
Nov-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Laptop
Nov-20,Male,Student,,Bihar,Patna,25.61,85.1414,Town/City,Smartphone
31-40,Male,Employed,more than 9 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,TV
21-30,Male,Student,,Uttar Pradesh,Haridwar,29.9457,78.1642,Town/City,Smartphone
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Smartphone
Nov-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,TV
Nov-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Laptop
Nov-20,Male,Student,,Kerala,Alapuzha,9.4981,76.3388,Town/City,Smartphone
21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,TV
21-30,Female,Student,,Kerala,Tirur,10.9167,75.9245,Town/City,Laptop
21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Laptop
21-30,Female,Student,,Kerala,Pathanamthitta,9.2647,76.7872,Rural,Smartphone
21-30,Female,Student,,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Laptop
21-30,Female,Student,,Uttar Pradesh ,Varanasi,25.3189,83.0128,Town/City,Smartphone
21-30,Male,Student,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,TV
21-30,Male,Student,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Smartphone
Nov-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,TV
Nov-20,Male,Student,,Kerala,Thrissur,10.52,76.21,Town/City,Smartphone
21-30,Female,Student,,West Bengal ,Siliguri,26.72,88.42,Town/City,Smartphone
21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Laptop
21-30,Male,Employed,between 3 and 6 lakhs,Rajasthan,Jaipur,26.9167,75.8667,Town/City,Smartphone
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Laptop
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Smartphone
21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Laptop
31-40,Female,Employed,less than 1 lakh,Uttar Pradesh,Varanasi,25.3189,83.0128,Town/City,Smartphone
Nov-20,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Laptop
Nov-20,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Smartphone
21-30,Male,Student,,Kerala,Pala,9.7131,76.6833,Town/City,Smartphone
21-30,Male,Student,,Jharkhand ,Ranchi,23.3556,85.3347,Town/City,Smartphone
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Smartphone
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Tablet
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Smartphone
21-30,Female,Student,,Karnataka ,Bangalore,12.9699,77.598,Town/City,Smartphone
51-60,Male,Retired,,Kerala,Kochi,9.9667,76.2833,Town/City,TV
21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Smartphone
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Rural,TV
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Rural,Smartphone
Nov-20,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Laptop
Nov-20,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Smartphone
Nov-20,Female,Student,,Kerala,Kozhikode,11.2588,75.7804,Town/City,TV
Nov-20,Female,Student,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Laptop
Nov-20,Male,Unemployed,,Kerala,Kochi,9.9667,76.2833,Town/City,Laptop
Nov-20,Male,Unemployed,,Kerala,Kochi,9.9667,76.2833,Town/City,Smartphone
21-30,Female,Student,,Kerala,Kottayam,9.5916,76.5222,Town/City,Smartphone
Nov-20,Female,Student,,Kerala,Kottayam,9.5916,76.5222,Town/City,Smartphone
21-30,Female,Student,,Madhya Pradesh ,Bhopal,23.25,77.4167,Town/City,TV
21-30,Female,Student,,Madhya Pradesh ,Bhopal,23.25,77.4167,Town/City,Smartphone
Nov-20,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Laptop
Nov-20,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Smartphone
Nov-20,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Laptop
Nov-20,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Smartphone
Nov-20,Male,Student,,Karnataka,Ballari,15.1394,76.9214,Rural,TV
Nov-20,Male,Student,,Karnataka,Ballari,15.1394,76.9214,Rural,Laptop
Nov-20,Male,Student,,Karnataka,Ballari,15.1394,76.9214,Rural,Smartphone
21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,TV
21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Laptop
Nov-20,Male,Student,,Karnataka ,Kolar,13.1333,78.1333,Rural,Smartphone
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,TV
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Laptop
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Smartphone
21-30,Male,Student,,Kerala,Palakkad,10.7867,76.6548,Town/City,TV
21-30,Male,Student,,Kerala,Palakkad,10.7867,76.6548,Town/City,Laptop
21-30,Male,Student,,Kerala,Palakkad,10.7867,76.6548,Town/City,Smartphone
