Age_Category,Gender,Occupational_Status,Annual_Salary,OTT_Platforms
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
35.5,Male,Employed,more than 9 lakhs,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Female,Student,,Other
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Telegram
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
25.5,Female,Student,,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
25.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
35.5,Female,Employed,less than 1 lakh,Amazon Prime
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,SonyLIV
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Male,Employed,more than 9 lakhs,Netflix
25.5,Male,Employed,more than 9 lakhs,Amazon Prime
25.5,Male,Employed,more than 9 lakhs,Disney+ Hotstar
25.5,Male,Employed,more than 9 lakhs,SonyLIV
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
55.5,Male,Retired,,Netflix
55.5,Male,Retired,,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
25.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Disney+ Hotstar
15.5,Male,Unemployed,,Netflix
15.5,Male,Unemployed,,Amazon Prime
15.5,Male,Unemployed,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Voot
15.5,Female,Student,,Netflix
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Zee5
25.5,Female,Student,,SonyLIV
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Disney+ Hotstar
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
15.5,Male,Student,,SonyLIV
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Voot
15.5,Male,Student,,YouTube
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Employed,more than 9 lakhs,Netflix
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
